Value of S is  1
++++++++++++++++++ S START ++++++++++++++++++
 
Value of N is  25
**************** N START ******************
 
 
Test run  1
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

04:18:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:04 PM     all     57.25      0.00      0.38      0.00      0.00     42.38
04:18:04 PM       0     57.00      0.00      0.00      0.00      0.00     43.00
04:18:04 PM       1     56.00      0.00      1.00      0.00      0.00     43.00
04:18:04 PM       2     57.00      0.00      1.00      0.00      0.00     42.00
04:18:04 PM       3     58.59      0.00      0.00      0.00      0.00     41.41
04:18:04 PM       4     58.59      0.00      0.00      0.00      0.00     41.41
04:18:04 PM       5     57.00      0.00      0.00      0.00      0.00     43.00
04:18:04 PM       6     56.00      0.00      0.00      0.00      0.00     44.00
04:18:04 PM       7     56.44      0.00      0.99      0.00      0.00     42.57

04:18:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:05 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
04:18:05 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
04:18:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:18:05 PM       2      0.00      0.00      1.00      0.00      0.00     99.00
04:18:05 PM       3      3.00      0.00      0.00      0.00      0.00     97.00
04:18:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:18:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:18:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:18:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:18:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:06 PM     all     49.37      0.00      0.13      0.00      0.00     50.50
04:18:06 PM       0     48.51      0.00      0.99      0.00      0.00     50.50
04:18:06 PM       1     50.00      0.00      0.00      0.00      0.00     50.00
04:18:06 PM       2     47.00      0.00      0.00      0.00      0.00     53.00
04:18:06 PM       3     50.98      0.00      0.98      0.00      0.00     48.04
04:18:06 PM       4     49.00      0.00      0.00      0.00      0.00     51.00
04:18:06 PM       5     50.00      0.00      0.00      0.00      0.00     50.00
04:18:06 PM       6     48.48      0.00      0.00      0.00      0.00     51.52
04:18:06 PM       7     51.00      0.00      0.00      0.00      0.00     49.00

04:18:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:07 PM     all      0.50      0.00      0.12      0.38      0.00     99.00
04:18:07 PM       0      0.00      0.00      0.00      3.03      0.00     96.97
04:18:07 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:18:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:18:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:18:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:18:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:18:07 PM       6      2.94      0.00      0.98      0.00      0.00     96.08
04:18:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:18:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:08 PM     all     48.00      0.00      0.12      0.00      0.00     51.88
04:18:08 PM       0     48.00      0.00      0.00      0.00      0.00     52.00
04:18:08 PM       1     47.00      0.00      0.00      0.00      0.00     53.00
04:18:08 PM       2     49.00      0.00      0.00      0.00      0.00     51.00
04:18:08 PM       3     47.47      0.00      0.00      0.00      0.00     52.53
04:18:08 PM       4     47.52      0.00      0.00      0.00      0.00     52.48
04:18:08 PM       5     47.52      0.00      0.00      0.00      0.00     52.48
04:18:08 PM       6     50.00      0.00      0.00      0.00      0.00     50.00
04:18:08 PM       7     48.00      0.00      0.00      0.00      0.00     52.00

04:18:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:09 PM     all      0.38      0.00      0.00      0.00      0.00     99.62
04:18:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:18:09 PM       1      0.00      0.00      1.00      0.00      0.00     99.00
04:18:09 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:18:09 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
04:18:09 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:18:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:18:09 PM       6      2.02      0.00      0.00      0.00      0.00     97.98
04:18:09 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:18:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:10 PM     all     44.64      0.00      0.12      0.25      0.00     54.99
04:18:10 PM       0     40.00      0.00      0.00      0.00      0.00     60.00
04:18:10 PM       1     45.45      0.00      0.00      0.00      0.00     54.55
04:18:10 PM       2     48.48      0.00      0.00      0.00      0.00     51.52
04:18:10 PM       3     43.56      0.00      0.00      0.00      0.00     56.44
04:18:10 PM       4     41.41      0.00      0.00      1.01      0.00     57.58
04:18:10 PM       5     45.45      0.00      0.00      0.00      0.00     54.55
04:18:10 PM       6     50.00      0.00      0.00      0.00      0.00     50.00
04:18:10 PM       7     43.00      0.00      0.00      0.00      0.00     57.00

04:18:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:11 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
04:18:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:18:11 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:18:11 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:18:11 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:18:11 PM       4      1.00      0.00      1.00      0.00      0.00     98.00
04:18:11 PM       5      1.01      0.00      0.00      0.00      0.00     98.99
04:18:11 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
04:18:11 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:18:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:18:12 PM     all      1.01      0.00      0.25      0.75      0.00     97.99
04:18:12 PM       0      2.00      0.00      0.00      3.00      0.00     95.00
04:18:12 PM       1      4.00      0.00      0.00      1.00      0.00     95.00
04:18:12 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
04:18:12 PM       3      0.00      0.00      0.99      0.99      0.00     98.02
04:18:12 PM       4      0.00      0.00      1.02      1.02      0.00     97.96
04:18:12 PM       5      2.00      0.00      1.00      0.00      0.00     97.00
04:18:12 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
