Value of N is  1000000
**************** N START ******************
 
 
Test run  1
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

06:53:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:28 PM     all     12.50      0.00      0.25      0.00      0.00     87.25
06:53:28 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
06:53:28 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:53:28 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:53:28 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:53:28 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
06:53:28 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:53:28 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:28 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

06:53:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:29 PM     all     25.03      0.00      0.00      0.13      0.00     74.84
06:53:29 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
06:53:29 PM       1      0.00      0.00      0.99      0.00      0.00     99.01
06:53:29 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:53:29 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
06:53:29 PM       4      0.00      0.00      0.00      1.00      0.00     99.00
06:53:29 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:53:29 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:29 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:30 PM     all     37.38      0.00      0.12      0.00      0.00     62.50
06:53:30 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:53:30 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:53:30 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:53:30 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:53:30 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:30 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:53:30 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:30 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:31 PM     all     50.00      0.00      0.00      0.25      0.00     49.75
06:53:31 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
06:53:31 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:53:31 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:53:31 PM       3     98.02      0.00      0.99      0.00      0.00      0.99
06:53:31 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:31 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
06:53:31 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:31 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:32 PM     all     62.58      0.00      0.00      0.00      0.00     37.42
06:53:32 PM       0     14.14      0.00      0.00      0.00      0.00     85.86
06:53:32 PM       1     99.01      0.00      0.00      0.00      0.00      0.99
06:53:32 PM       2      9.00      0.00      0.00      0.00      0.00     91.00
06:53:32 PM       3     77.00      0.00      0.00      0.00      0.00     23.00
06:53:32 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:32 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:53:32 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:32 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:33 PM     all     74.78      0.00      0.12      0.50      0.00     24.59
06:53:33 PM       0     99.01      0.00      0.00      0.00      0.00      0.99
06:53:33 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:33 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:33 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:53:33 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:33 PM       5      0.00      0.00      0.00      4.04      0.00     95.96
06:53:33 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:33 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:34 PM     all     87.48      0.00      0.00      0.00      0.00     12.52
06:53:34 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:34 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:34 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:34 PM       3     99.00      0.00      0.00      0.00      0.00      1.00
06:53:34 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:34 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
06:53:34 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:34 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:35 PM     all     99.88      0.00      0.00      0.00      0.00      0.12
06:53:35 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       5     99.00      0.00      0.00      0.00      0.00      1.00
06:53:35 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:35 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:36 PM     all     99.75      0.00      0.25      0.00      0.00      0.00
06:53:36 PM       0     99.01      0.00      0.99      0.00      0.00      0.00
06:53:36 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:36 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:37 PM     all     99.87      0.00      0.13      0.00      0.00      0.00
06:53:37 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       5     99.01      0.00      0.99      0.00      0.00      0.00
06:53:37 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:37 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:38 PM     all     99.88      0.00      0.12      0.00      0.00      0.00
06:53:38 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       5     99.00      0.00      1.00      0.00      0.00      0.00
06:53:38 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:38 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:39 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:39 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:40 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:40 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:41 PM     all     99.88      0.00      0.12      0.00      0.00      0.00
06:53:41 PM       0     99.01      0.00      0.99      0.00      0.00      0.00
06:53:41 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:41 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:41 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:41 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:41 PM       5     99.01      0.00      0.99      0.00      0.00      0.00
06:53:41 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:41 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:42 PM     all     99.88      0.00      0.12      0.00      0.00      0.00
06:53:42 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       5     99.00      0.00      1.00      0.00      0.00      0.00
06:53:42 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:42 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:43 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
06:53:43 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

06:53:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:44 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
06:53:44 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
06:53:44 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
