Value of N is  1
**************** N START ******************
 
 
Test run  1
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

07:20:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:34 PM     all     12.39      0.00      0.13      0.38      0.00     87.11
07:20:34 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
07:20:34 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:34 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
07:20:34 PM       3      0.00      0.00      0.99      0.99      0.00     98.02
07:20:34 PM       4     99.00      0.00      0.00      0.00      0.00      1.00
07:20:34 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:34 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:34 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:35 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:20:35 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:35 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:35 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:36 PM     all     12.52      0.00      0.00      0.25      0.00     87.23
07:20:36 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:36 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
07:20:36 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
07:20:36 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
07:20:36 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:36 PM       5      0.00      0.00      0.00      0.99      0.00     99.01
07:20:36 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:36 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:37 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:20:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:37 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:37 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:38 PM     all     12.48      0.00      0.00      0.37      0.00     87.14
07:20:38 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
07:20:38 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:38 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:38 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:38 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:38 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
07:20:38 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:39 PM     all     12.52      0.00      0.00      0.00      0.00     87.48
07:20:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:40 PM     all     12.50      0.00      0.00      0.38      0.00     87.12
07:20:40 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
07:20:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:40 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:40 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:41 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:20:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:42 PM     all     12.52      0.00      0.00      0.25      0.00     87.23
07:20:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:42 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
07:20:42 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
07:20:42 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
07:20:42 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:42 PM       7      0.00      0.00      0.00      1.00      0.00     99.00

07:20:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:43 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:20:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
07:20:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:20:43 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     12.49      0.00      0.01      0.16      0.00     87.33
Average:          0      0.00      0.00      0.00      0.30      0.00     99.70
Average:          1      0.00      0.00      0.00      0.20      0.00     99.80
Average:          2      0.00      0.00      0.00      0.30      0.00     99.70
Average:          3      0.00      0.00      0.10      0.30      0.00     99.60
Average:          4     99.90      0.00      0.00      0.00      0.00      0.10
Average:          5      0.00      0.00      0.00      0.20      0.00     99.80
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.10      0.00     99.90
 
>>>>>>>>>>>>>>>>>>> iteration end >>>>>>>>>>>>>>>>>>>>>
 
 
Test run  2
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

07:20:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:49 PM     all     12.50      0.00      0.12      0.00      0.00     87.38
07:20:49 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:20:49 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:20:49 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:49 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
07:20:49 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:20:49 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:20:49 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
07:20:49 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:20:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:20:50 PM     all     12.62      0.00      0.00      0.25      0.00     87.12
07:20:50 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
07:20:50 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
07:20:50 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:20:50 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
07:20:50 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:20:50 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
07:20:50 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
