Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

03:49:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:39 PM     all      3.01      0.00      0.00      0.25      0.00     96.74
03:49:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:49:39 PM       1      0.00      0.00      0.00      1.01      0.00     98.99
03:49:39 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
03:49:39 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
03:49:39 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:39 PM       5     21.00      0.00      0.00      0.00      0.00     79.00
03:49:39 PM       6      0.99      0.00      0.99      0.99      0.00     97.03
03:49:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:49:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:40 PM     all     13.27      0.00      0.13      0.00      0.00     86.61
03:49:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:49:40 PM       1      0.98      0.00      0.98      0.00      0.00     98.04
03:49:40 PM       2      5.05      0.00      0.00      0.00      0.00     94.95
03:49:40 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
03:49:40 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:40 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
03:49:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:49:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:49:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:41 PM     all     12.61      0.00      0.12      0.37      0.00     86.89
03:49:41 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
03:49:41 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
03:49:41 PM       2      0.00      0.00      0.98      0.98      0.00     98.04
03:49:41 PM       3      0.00      0.00      0.00      0.99      0.00     99.01
03:49:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:41 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
03:49:41 PM       6      0.00      0.00      0.00      1.00      0.00     99.00
03:49:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:49:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:42 PM     all     12.50      0.00      0.00      0.25      0.00     87.25
03:49:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:49:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:49:42 PM       2      0.00      0.00      0.00      1.01      0.00     98.99
03:49:42 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:49:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:42 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
03:49:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:49:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:49:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:43 PM     all     12.58      0.00      0.00      0.38      0.00     87.04
03:49:43 PM       0      0.00      0.00      0.00      2.00      0.00     98.00
03:49:43 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:49:43 PM       2      0.00      0.00      0.00      1.01      0.00     98.99
03:49:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:49:43 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:43 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
03:49:43 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:49:43 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:49:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:44 PM     all     14.39      0.00      0.25      0.00      0.00     85.36
03:49:44 PM       0      2.00      0.00      1.00      0.00      0.00     97.00
03:49:44 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:49:44 PM       2      2.00      0.00      0.00      0.00      0.00     98.00
03:49:44 PM       3      8.00      0.00      1.00      0.00      0.00     91.00
03:49:44 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:49:44 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
03:49:44 PM       6      3.06      0.00      0.00      0.00      0.00     96.94
03:49:44 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

03:49:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:49:45 PM     all     12.53      0.00      0.13      0.38      0.00     86.97
