Value of S is  1
++++++++++++++++++ S START ++++++++++++++++++
 
Value of N is  25
**************** N START ******************
 
 
Test run  1
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

04:38:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:06 PM     all     56.29      0.00      0.25      2.24      0.00     41.22
04:38:06 PM       0     57.58      0.00      0.00      4.04      0.00     38.38
04:38:06 PM       1     55.45      0.00      1.98      3.96      0.00     38.61
04:38:06 PM       2     55.45      0.00      0.00      2.97      0.00     41.58
04:38:06 PM       3     57.00      0.00      0.00      2.00      0.00     41.00
04:38:06 PM       4     57.43      0.00      0.00      0.00      0.00     42.57
04:38:06 PM       5     57.00      0.00      0.00      2.00      0.00     41.00
04:38:06 PM       6     55.56      0.00      0.00      1.01      0.00     43.43
04:38:06 PM       7     56.44      0.00      0.00      0.99      0.00     42.57

04:38:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:07 PM     all      0.38      0.00      0.13      0.38      0.00     99.12
04:38:07 PM       0      0.00      0.00      1.00      1.00      0.00     98.00
04:38:07 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
04:38:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:38:07 PM       3      1.98      0.00      0.00      0.99      0.00     97.03
04:38:07 PM       4      0.00      0.00      0.00      1.00      0.00     99.00
04:38:07 PM       5      0.00      0.00      0.00      0.99      0.00     99.01
04:38:07 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:38:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:38:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:08 PM     all     48.50      0.00      0.12      0.00      0.00     51.38
04:38:08 PM       0     48.51      0.00      0.00      0.00      0.00     51.49
04:38:08 PM       1     50.00      0.00      0.00      0.00      0.00     50.00
04:38:08 PM       2     47.47      0.00      0.00      0.00      0.00     52.53
04:38:08 PM       3     49.00      0.00      1.00      0.00      0.00     50.00
04:38:08 PM       4     48.48      0.00      0.00      0.00      0.00     51.52
04:38:08 PM       5     50.00      0.00      0.00      0.00      0.00     50.00
04:38:08 PM       6     46.53      0.00      0.99      0.00      0.00     52.48
04:38:08 PM       7     48.00      0.00      0.00      0.00      0.00     52.00

04:38:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:09 PM     all      0.25      0.00      0.25      0.50      0.00     99.00
04:38:09 PM       0      2.02      0.00      1.01      3.03      0.00     93.94
04:38:09 PM       1      0.00      0.00      1.01      0.00      0.00     98.99
04:38:09 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:38:09 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
04:38:09 PM       4      0.00      0.00      0.00      0.99      0.00     99.01
04:38:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:38:09 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:38:09 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:38:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:10 PM     all     47.25      0.00      0.25      0.00      0.00     52.50
04:38:10 PM       0     46.00      0.00      1.00      0.00      0.00     53.00
04:38:10 PM       1     48.00      0.00      0.00      0.00      0.00     52.00
04:38:10 PM       2     46.00      0.00      0.00      0.00      0.00     54.00
04:38:10 PM       3     48.51      0.00      0.99      0.00      0.00     50.50
04:38:10 PM       4     46.00      0.00      0.00      0.00      0.00     54.00
04:38:10 PM       5     47.47      0.00      0.00      0.00      0.00     52.53
04:38:10 PM       6     46.00      0.00      0.00      0.00      0.00     54.00
04:38:10 PM       7     49.50      0.00      0.00      0.00      0.00     50.50

04:38:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:11 PM     all      0.25      0.00      0.00      0.38      0.00     99.38
04:38:11 PM       0      1.00      0.00      0.00      1.00      0.00     98.00
04:38:11 PM       1      0.00      0.00      0.00      0.99      0.00     99.01
04:38:11 PM       2      0.00      0.00      0.00      1.01      0.00     98.99
04:38:11 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:38:11 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:38:11 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:38:11 PM       6      0.00      0.00      0.00      1.00      0.00     99.00
04:38:11 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:38:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:12 PM     all     44.75      0.00      0.00      0.00      0.00     55.25
04:38:12 PM       0     43.00      0.00      0.00      0.00      0.00     57.00
04:38:12 PM       1     44.44      0.00      0.00      0.00      0.00     55.56
04:38:12 PM       2     46.00      0.00      0.00      0.00      0.00     54.00
04:38:12 PM       3     45.00      0.00      0.00      0.00      0.00     55.00
04:38:12 PM       4     44.00      0.00      0.00      0.00      0.00     56.00
04:38:12 PM       5     44.55      0.00      0.00      0.00      0.00     55.45
04:38:12 PM       6     46.00      0.00      0.00      0.00      0.00     54.00
04:38:12 PM       7     45.45      0.00      0.00      0.00      0.00     54.55

04:38:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:13 PM     all      4.89      0.00      0.13      0.38      0.00     94.60
04:38:13 PM       0      5.05      0.00      0.00      1.01      0.00     93.94
04:38:13 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
04:38:13 PM       2     14.00      0.00      0.00      0.00      0.00     86.00
04:38:13 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:38:13 PM       4      7.00      0.00      0.00      0.00      0.00     93.00
04:38:13 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:38:13 PM       6     13.00      0.00      1.00      1.00      0.00     85.00
04:38:13 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

04:38:13 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:14 PM     all     39.10      0.00      0.12      0.00      0.00     60.77
04:38:14 PM       0     37.62      0.00      0.00      0.00      0.00     62.38
04:38:14 PM       1     43.00      0.00      0.00      0.00      0.00     57.00
04:38:14 PM       2     32.67      0.00      0.00      0.00      0.00     67.33
04:38:14 PM       3     44.00      0.00      0.00      0.00      0.00     56.00
04:38:14 PM       4     35.00      0.00      0.00      0.00      0.00     65.00
04:38:14 PM       5     44.55      0.00      0.00      0.00      0.00     55.45
04:38:14 PM       6     31.68      0.00      0.99      0.00      0.00     67.33
04:38:14 PM       7     44.55      0.00      0.00      0.00      0.00     55.45

04:38:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:15 PM     all     25.53      0.00      0.00      0.50      0.00     73.97
04:38:15 PM       0     35.35      0.00      0.00      1.01      0.00     63.64
04:38:15 PM       1     20.00      0.00      0.00      1.00      0.00     79.00
04:38:15 PM       2     35.35      0.00      0.00      0.00      0.00     64.65
04:38:15 PM       3     12.00      0.00      0.00      1.00      0.00     87.00
04:38:15 PM       4     38.00      0.00      0.00      0.00      0.00     62.00
04:38:15 PM       5     19.19      0.00      0.00      0.00      0.00     80.81
04:38:15 PM       6     33.33      0.00      0.00      0.00      0.00     66.67
04:38:15 PM       7     11.11      0.00      0.00      0.00      0.00     88.89

04:38:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:16 PM     all     17.48      0.00      0.00      0.00      0.00     82.52
04:38:16 PM       0      8.91      0.00      0.00      0.00      0.00     91.09
04:38:16 PM       1     27.00      0.00      0.00      0.00      0.00     73.00
04:38:16 PM       2      9.00      0.00      0.00      0.00      0.00     91.00
04:38:16 PM       3      7.00      0.00      0.00      0.00      0.00     93.00
04:38:16 PM       4     25.00      0.00      0.00      0.00      0.00     75.00
04:38:16 PM       5     27.00      0.00      0.00      0.00      0.00     73.00
04:38:16 PM       6     11.00      0.00      0.00      0.00      0.00     89.00
04:38:16 PM       7     25.00      0.00      0.00      0.00      0.00     75.00

04:38:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:17 PM     all     41.05      0.00      0.13      0.25      0.00     58.57
04:38:17 PM       0     45.00      0.00      0.00      0.00      0.00     55.00
04:38:17 PM       1     34.00      0.00      0.00      1.00      0.00     65.00
04:38:17 PM       2     42.57      0.00      0.00      0.99      0.00     56.44
04:38:17 PM       3     42.00      0.00      0.00      1.00      0.00     57.00
04:38:17 PM       4     44.00      0.00      0.00      0.00      0.00     56.00
04:38:17 PM       5     34.34      0.00      0.00      0.00      0.00     65.66
04:38:17 PM       6     43.00      0.00      0.00      1.00      0.00     56.00
04:38:17 PM       7     42.57      0.00      0.00      0.00      0.00     57.43

04:38:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:18 PM     all      2.50      0.00      0.12      0.00      0.00     97.38
04:38:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:38:18 PM       1     10.00      0.00      0.00      0.00      0.00     90.00
04:38:18 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:38:18 PM       3      0.98      0.00      0.98      0.00      0.00     98.04
04:38:18 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
