Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

03:47:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:38 PM     all      5.65      0.00      0.38      0.38      0.00     93.60
03:47:38 PM       0     22.00      0.00      0.00      1.00      0.00     77.00
03:47:38 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:47:38 PM       2      0.00      0.00      0.00      1.01      0.00     98.99
03:47:38 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:38 PM       4     22.00      0.00      1.00      0.00      0.00     77.00
03:47:38 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
03:47:38 PM       6      0.00      0.00      1.02      0.00      0.00     98.98
03:47:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:47:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:39 PM     all     25.53      0.00      0.00      0.00      0.00     74.47
03:47:39 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
03:47:39 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
03:47:39 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:47:39 PM       3      3.00      0.00      0.00      0.00      0.00     97.00
03:47:39 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:47:39 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:47:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:47:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:40 PM     all     25.19      0.00      0.00      0.25      0.00     74.56
03:47:40 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
03:47:40 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
03:47:40 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
03:47:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:40 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:47:40 PM       6      0.00      0.00      0.00      1.01      0.00     98.99
03:47:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:47:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:41 PM     all     25.00      0.00      0.00      0.00      0.00     75.00
03:47:41 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
03:47:41 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:47:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:42 PM     all     25.03      0.00      0.00      0.38      0.00     74.59
03:47:42 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
03:47:42 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
03:47:42 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:47:42 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
03:47:42 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:42 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
03:47:42 PM       6      0.00      0.00      0.00      1.00      0.00     99.00
03:47:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:47:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:43 PM     all     25.00      0.00      0.12      0.25      0.00     74.62
03:47:43 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
03:47:43 PM       1      0.00      0.00      0.00      2.00      0.00     98.00
03:47:43 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
03:47:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:43 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
