Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

01:20:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:42 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
01:20:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:20:42 PM       7      0.00      0.00      0.00      1.00      0.00     99.00

01:20:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:43 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
01:20:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:20:43 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:20:43 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:20:43 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
01:20:43 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:20:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:20:43 PM       6      1.00      0.00      1.00      0.00      0.00     98.00
01:20:43 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

01:20:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:44 PM     all     45.49      0.00      0.38      0.25      0.00     53.88
01:20:44 PM       0     45.00      0.00      1.00      2.00      0.00     52.00
01:20:44 PM       1     45.00      0.00      0.00      0.00      0.00     55.00
01:20:44 PM       2     46.00      0.00      0.00      0.00      0.00     54.00
01:20:44 PM       3     44.55      0.00      0.99      0.00      0.00     54.46
01:20:44 PM       4     45.00      0.00      0.00      0.00      0.00     55.00
01:20:44 PM       5     46.00      0.00      0.00      0.00      0.00     54.00
01:20:44 PM       6     45.54      0.00      0.99      0.00      0.00     53.47
01:20:44 PM       7     48.00      0.00      0.00      0.00      0.00     52.00

01:20:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:45 PM     all     12.61      0.00      0.25      0.00      0.00     87.14
01:20:45 PM       0     11.00      0.00      1.00      0.00      0.00     88.00
01:20:45 PM       1     12.00      0.00      0.00      0.00      0.00     88.00
01:20:45 PM       2     10.00      0.00      0.00      0.00      0.00     90.00
01:20:45 PM       3     22.77      0.00      0.99      0.00      0.00     76.24
01:20:45 PM       4     10.00      0.00      0.00      0.00      0.00     90.00
01:20:45 PM       5     15.84      0.00      0.00      0.00      0.00     84.16
01:20:45 PM       6     10.10      0.00      0.00      0.00      0.00     89.90
01:20:45 PM       7      8.08      0.00      0.00      0.00      0.00     91.92

01:20:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:46 PM     all     20.38      0.00      0.00      0.12      0.00     79.50
01:20:46 PM       0     25.00      0.00      0.00      0.00      0.00     75.00
01:20:46 PM       1     15.00      0.00      0.00      0.00      0.00     85.00
01:20:46 PM       2     24.00      0.00      0.00      0.00      0.00     76.00
01:20:46 PM       3     22.22      0.00      0.00      0.00      0.00     77.78
01:20:46 PM       4     23.00      0.00      0.00      0.00      0.00     77.00
01:20:46 PM       5      3.03      0.00      0.00      1.01      0.00     95.96
