Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

01:02:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:02:47 PM     all      0.13      0.00      0.00      0.38      0.00     99.50
01:02:47 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
01:02:47 PM       1      0.00      0.00      0.00      0.99      0.00     99.01
01:02:47 PM       2      0.00      0.00      0.00      1.01      0.00     98.99
01:02:47 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:02:47 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:02:47 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:02:47 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:02:47 PM       7      0.99      0.00      0.00      0.00      0.00     99.01

01:02:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:02:48 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
01:02:48 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
01:02:48 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:02:48 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
01:02:48 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:02:48 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:02:48 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:02:48 PM       6      1.00      0.00      1.00      0.00      0.00     98.00
01:02:48 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

01:02:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:02:49 PM     all     85.12      0.00      0.38      0.00      0.00     14.50
01:02:49 PM       0     85.86      0.00      0.00      0.00      0.00     14.14
01:02:49 PM       1     84.16      0.00      0.99      0.00      0.00     14.85
01:02:49 PM       2     85.00      0.00      0.00      0.00      0.00     15.00
01:02:49 PM       3     85.86      0.00      0.00      0.00      0.00     14.14
01:02:49 PM       4     85.15      0.00      0.99      0.00      0.00     13.86
01:02:49 PM       5     83.17      0.00      0.00      0.00      0.00     16.83
01:02:49 PM       6     86.00      0.00      1.00      0.00      0.00     13.00
01:02:49 PM       7     85.15      0.00      0.00      0.00      0.00     14.85

01:02:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:02:50 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
01:02:50 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

01:02:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:02:51 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
01:02:51 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

