Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

03:02:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:02:20 PM     all     28.55      0.00      0.13      0.19      0.00     71.13
03:02:20 PM       0     28.36      0.00      0.00      1.00      0.00     70.65
03:02:20 PM       1     28.64      0.00      0.00      0.50      0.00     70.85
03:02:20 PM       2     28.86      0.00      0.50      0.50      0.00     70.15
03:02:20 PM       3     28.64      0.00      0.00      0.00      0.00     71.36
03:02:20 PM       4     28.50      0.00      0.00      0.00      0.00     71.50
03:02:20 PM       5     28.50      0.00      0.00      0.50      0.00     71.00
03:02:20 PM       6     29.00      0.00      0.50      0.00      0.00     70.50
03:02:20 PM       7     28.36      0.00      0.00      0.00      0.00     71.64

03:02:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:02:22 PM     all     23.97      0.00      0.00      0.19      0.00     75.84
03:02:22 PM       0     26.90      0.00      0.00      0.00      0.00     73.10
03:02:22 PM       1     23.88      0.00      0.50      0.50      0.00     75.12
03:02:22 PM       2     21.11      0.00      0.00      0.00      0.00     78.89
03:02:22 PM       3     23.76      0.00      0.00      0.50      0.00     75.74
03:02:22 PM       4     24.62      0.00      0.00      0.00      0.00     75.38
03:02:22 PM       5     24.00      0.00      0.00      0.00      0.00     76.00
03:02:22 PM       6     23.12      0.00      0.00      0.00      0.00     76.88
03:02:22 PM       7     23.62      0.00      0.00      0.00      0.00     76.38

03:02:22 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:02:24 PM     all     23.12      0.00      0.06      0.25      0.00     76.56
03:02:24 PM       0     20.50      0.00      0.00      1.50      0.00     78.00
03:02:24 PM       1     26.50      0.00      0.00      0.00      0.00     73.50
03:02:24 PM       2     22.11      0.00      0.00      0.00      0.00     77.89
03:02:24 PM       3     23.62      0.00      0.00      0.50      0.00     75.88
03:02:24 PM       4     22.50      0.00      0.00      0.50      0.00     77.00
03:02:24 PM       5     23.38      0.00      0.00      0.00      0.00     76.62
03:02:24 PM       6     23.00      0.00      0.00      0.00      0.00     77.00
03:02:24 PM       7     23.12      0.00      0.00      0.00      0.00     76.88

