Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

12:55:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:34 PM     all      0.00      0.00      0.13      0.50      0.00     99.37
12:55:34 PM       0      0.00      0.00      0.00      1.01      0.00     98.99
12:55:34 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
12:55:34 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:55:34 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
12:55:34 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:55:34 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:55:34 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:55:34 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

12:55:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:35 PM     all      0.38      0.00      0.12      0.00      0.00     99.50
12:55:35 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:55:35 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
12:55:35 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:55:35 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
12:55:35 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:55:35 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:55:35 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
12:55:35 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

12:55:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:36 PM     all     26.72      0.00      0.25      0.00      0.00     73.03
12:55:36 PM       0     26.73      0.00      0.00      0.00      0.00     73.27
12:55:36 PM       1     26.73      0.00      0.99      0.00      0.00     72.28
12:55:36 PM       2     26.00      0.00      0.00      0.00      0.00     74.00
12:55:36 PM       3     26.00      0.00      0.00      0.00      0.00     74.00
12:55:36 PM       4     27.00      0.00      0.00      0.00      0.00     73.00
12:55:36 PM       5     27.00      0.00      0.00      0.00      0.00     73.00
12:55:36 PM       6     27.00      0.00      1.00      0.00      0.00     72.00
12:55:36 PM       7     27.00      0.00      0.00      0.00      0.00     73.00

12:55:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:37 PM     all     29.82      0.00      0.00      0.00      0.00     70.18
12:55:37 PM       0     29.29      0.00      0.00      0.00      0.00     70.71
12:55:37 PM       1     30.00      0.00      0.00      0.00      0.00     70.00
12:55:37 PM       2     30.00      0.00      0.00      0.00      0.00     70.00
12:55:37 PM       3     30.00      0.00      0.00      0.00      0.00     70.00
12:55:37 PM       4     30.00      0.00      0.00      0.00      0.00     70.00
12:55:37 PM       5     30.30      0.00      0.00      0.00      0.00     69.70
12:55:37 PM       6     29.00      0.00      0.00      0.00      0.00     71.00
12:55:37 PM       7     30.00      0.00      0.00      0.00      0.00     70.00

12:55:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:38 PM     all      1.00      0.00      0.00      0.25      0.00     98.75
12:55:38 PM       0      4.00      0.00      0.00      0.00      0.00     96.00
12:55:38 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
12:55:38 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
12:55:38 PM       3      1.00      0.00      0.00      1.00      0.00     98.00
12:55:38 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:55:38 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:55:38 PM       6      3.00      0.00      0.00      0.00      0.00     97.00
12:55:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

12:55:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:39 PM     all     47.43      0.00      0.00      0.38      0.00     52.19
12:55:39 PM       0     46.00      0.00      0.00      0.00      0.00     54.00
12:55:39 PM       1     50.00      0.00      0.00      3.00      0.00     47.00
12:55:39 PM       2     47.00      0.00      0.00      0.00      0.00     53.00
12:55:39 PM       3     47.00      0.00      0.00      0.00      0.00     53.00
12:55:39 PM       4     47.47      0.00      0.00      0.00      0.00     52.53
12:55:39 PM       5     50.00      0.00      0.00      0.00      0.00     50.00
12:55:39 PM       6     44.44      0.00      0.00      0.00      0.00     55.56
12:55:39 PM       7     48.00      0.00      0.00      0.00      0.00     52.00

12:55:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:40 PM     all      7.62      0.00      0.12      0.25      0.00     92.00
12:55:40 PM       0     11.88      0.00      0.99      0.00      0.00     87.13
12:55:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:55:40 PM       2     10.00      0.00      0.00      0.00      0.00     90.00
12:55:40 PM       3     10.00      0.00      0.00      1.00      0.00     89.00
12:55:40 PM       4      8.91      0.00      0.00      0.00      0.00     91.09
12:55:40 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
12:55:40 PM       6     12.87      0.00      0.00      0.00      0.00     87.13
12:55:40 PM       7      7.07      0.00      0.00      0.00      0.00     92.93

12:55:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:55:41 PM     all     38.45      0.00      0.00      0.00      0.00     61.55
12:55:41 PM       0     34.34      0.00      0.00      0.00      0.00     65.66
12:55:41 PM       1     46.53      0.00      0.00      0.00      0.00     53.47
12:55:41 PM       2     36.00      0.00      0.00      0.00      0.00     64.00
12:55:41 PM       3     36.00      0.00      0.00      0.00      0.00     64.00
