Linux 3.13.0-37-generic (perflab) 	10/06/2018 	_i686_	(8 CPU)

02:53:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:04 PM     all     52.10      0.00      0.19      0.00      0.00     47.71
02:53:04 PM       0     52.24      0.00      0.00      0.00      0.00     47.76
02:53:04 PM       1     52.53      0.00      0.00      0.00      0.00     47.47
02:53:04 PM       2     52.00      0.00      0.00      0.00      0.00     48.00
02:53:04 PM       3     51.76      0.00      0.00      0.00      0.00     48.24
02:53:04 PM       4     52.00      0.00      0.00      0.00      0.00     48.00
02:53:04 PM       5     52.00      0.00      0.50      0.00      0.00     47.50
02:53:04 PM       6     52.79      0.00      0.51      0.00      0.00     46.70
02:53:04 PM       7     51.74      0.00      0.50      0.00      0.00     47.76

02:53:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:06 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:06 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

02:53:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:08 PM     all     99.56      0.00      0.25      0.00      0.00      0.19
02:53:08 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
02:53:08 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:08 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
02:53:08 PM       3     97.00      0.00      2.00      0.00      0.00      1.00
02:53:08 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:08 PM       5     99.50      0.00      0.00      0.00      0.00      0.50
02:53:08 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:08 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

02:53:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:10 PM     all     99.75      0.00      0.25      0.00      0.00      0.00
02:53:10 PM       0     99.50      0.00      0.50      0.00      0.00      0.00
02:53:10 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:10 PM       2     99.50      0.00      0.50      0.00      0.00      0.00
02:53:10 PM       3     98.99      0.00      1.01      0.00      0.00      0.00
02:53:10 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:10 PM       5     99.50      0.00      0.00      0.00      0.00      0.50
02:53:10 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:10 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

02:53:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:12 PM     all     99.94      0.00      0.06      0.00      0.00      0.00
02:53:12 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:12 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

02:53:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:14 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:14 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

02:53:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:16 PM     all    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       1    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       3    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       4    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       5    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       6    100.00      0.00      0.00      0.00      0.00      0.00
02:53:16 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

